chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
6979.238095665894,355633.2836774771,6354052.606903633,25.45566147325093,-32.94228987270888,677.0,677.0,OpenTopoData srtm30m
7009.238095665955,355662.16646117496,6354044.496120325,25.455969073391532,-32.94236682698466,676.0,676.0,OpenTopoData srtm30m
7037.539313547759,355685.2437762544,6354028.113310361,25.45621329402842,-32.94251760364613,675.0,676.0,OpenTopoData srtm30m
7067.539313547753,355702.69120376726,6354003.708653568,25.45639605229069,-32.942739970353735,676.0,676.0,OpenTopoData srtm30m
7097.539083923854,355720.3030424137,6353979.422662501,25.45658058827155,-32.942961288506,677.0,677.0,OpenTopoData srtm30m
7118.887807149417,355712.8633593095,6353959.412187777,25.456497892228906,-32.943140743511385,680.0,680.0,OpenTopoData srtm30m
7148.887807149173,355688.21954008803,6353942.30423132,25.456231668127142,-32.94329175245835,684.0,684.0,OpenTopoData srtm30m
7178.714759786581,355661.8350201253,6353928.393652253,25.455947329118818,-32.94341369941597,684.0,684.0,OpenTopoData srtm30m
7208.71475978684,355634.0907371551,6353916.980731396,25.455648839499208,-32.94351294411881,681.0,681.0,OpenTopoData srtm30m
7238.693055040013,355606.0425322925,6353906.397896697,25.455347229235795,-32.94360466287011,678.0,678.0,OpenTopoData srtm30m
7268.6930550399375,355577.48800052924,6353897.197966492,25.455040420563932,-32.943683844023155,676.0,676.0,OpenTopoData srtm30m
7298.693055040148,355548.933468766,6353887.998036286,25.454733611373282,-32.94376302440536,675.0,675.0,OpenTopoData srtm30m
7328.691595221406,355520.262793903,6353879.171665803,25.45442561823076,-32.9438388201993,675.0,675.0,OpenTopoData srtm30m
7358.690639927356,355491.56519473536,6353870.431500742,25.454117350188586,-32.943913834325585,674.0,675.0,OpenTopoData srtm30m
7388.690639927367,355462.9946258501,6353861.281495629,25.45381037579963,-32.94399256008393,675.0,675.0,OpenTopoData srtm30m
7418.690639927378,355434.42405696487,6353852.131490516,25.453503400894824,-32.94407128507065,676.0,676.0,OpenTopoData srtm30m
7445.81555389685,355426.52196617593,6353826.183120258,25.45341482012848,-32.944304219536164,677.0,677.0,OpenTopoData srtm30m
7475.715551284326,355422.15602429723,6353796.603593634,25.45336348504427,-32.944570364846825,677.0,677.0,OpenTopoData srtm30m
7505.715551283764,355413.1911714095,6353767.974388045,25.45326311690972,-32.94482733196783,677.0,677.0,OpenTopoData srtm30m
7535.715551284109,355404.2263185217,6353739.345182455,25.453162748166594,-32.94508429898078,677.0,677.0,OpenTopoData srtm30m
7565.694034565484,355396.97525501275,6353710.2568422165,25.45308063451332,-32.9453456329369,676.0,676.0,OpenTopoData srtm30m
7595.694034565481,355390.4267961079,6353680.980269911,25.453006004681324,-32.9456087571849,675.0,675.0,OpenTopoData srtm30m
7625.694034565478,355383.87833720306,6353651.703697605,25.452931374376366,-32.9458718813645,675.0,675.0,OpenTopoData srtm30m
7654.496603055926,355388.12542278384,6353623.215977168,25.452972319539512,-32.946129322129075,674.0,674.0,OpenTopoData srtm30m
7684.361405195382,355397.09679175477,6353594.730525695,25.453063788857328,-32.94638736809616,672.0,672.0,OpenTopoData srtm30m
7714.3614051946815,355401.7849990099,6353565.099111407,25.453109272509234,-32.946655180101885,672.0,672.0,OpenTopoData srtm30m
7744.36140519491,355406.47320626513,6353535.467697118,25.453154756402597,-32.94692299208808,672.0,672.0,OpenTopoData srtm30m
7774.361405195138,355411.16141352034,6353505.83628283,25.453200240537424,-32.947190804054785,673.0,672.0,OpenTopoData srtm30m
7804.316400423527,355405.9049565183,6353476.346091258,25.453139393135515,-32.94745602560789,671.0,671.0,OpenTopoData srtm30m
7834.290681911149,355399.8329335843,6353446.993270471,25.453069844759746,-32.94771990040202,671.0,671.0,OpenTopoData srtm30m
