dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
254,244,678.5,297.02249624409615,2.454667172840927,3.5,1.0,7535.715551284109,25.453162748166594,-32.94508429898078,677.0
255,245,677.5,297.0009795255464,1.5052049958795308,2.5,0.0,7565.694034565484,25.45308063451332,-32.9453456329369,676.0
42,32,705.5,296.14441867300866,0.8528060003980515,1.5,1.0,1224.1922401222414,25.423881085962524,-32.93073694368764,704.0
105,95,697.5,293.64094078597464,1.560677943617672,2.5,1.0,3094.038290028532,25.432280806913393,-32.94187885815531,696.0
18,8,708.5,291.4321043185613,1.7058798571295395,2.5,0.0,520.9621172142452,25.420762923289075,-32.929903297278884,707.0
240,230,681.5,289.0899708444822,3.452052478666204,5.5,1.0,7118.887807149417,25.456497892228906,-32.943140743511385,680.0
35,25,706.5,289.0621961033406,1.2584608868413443,1.5,1.0,1018.006045022816,25.423129141629364,-32.931701696020674,705.0
446,437,642.5,269.81868624734125,3.2221216749346127,4.5,1.0,13278.828732524265,25.4766817002909,-32.962836689139536,641.0
125,116,694.5,269.78283374389457,1.9443888115473982,2.5,0.0,3691.473433935604,25.438073496260316,-32.943364768763175,693.0
292,283,669.5,269.7464566159433,1.5555524820858022,2.5,1.0,8672.822528571403,25.450759586115712,-32.954990608426286,668.0
374,365,652.5,269.70802666687086,1.1111649643390098,2.5,1.0,11122.572440565033,25.458155768250222,-32.96198031778073,651.0
315,306,665.5,269.6849705983859,1.555091161459886,2.5,1.0,9361.114881024543,25.45197415431508,-32.96092010241191,664.0
147,138,690.5,269.6218804922455,1.8334005165798972,2.5,0.0,4349.570172877203,25.442214169685844,-32.93919239945775,689.0
473,464,636.5,269.3392359174213,2.77710023433613,3.5,1.0,14086.801073034858,25.47600662022586,-32.969450189701284,635.0
459,450,640.5,269.1776033791557,1.7773756335076503,2.5,1.0,13667.823035403931,25.477347372786287,-32.96594042222598,639.0
278,269,672.5,269.1511010629183,1.776193101364397,2.5,1.0,8253.134310384648,25.451976243343758,-32.95135798334231,671.0
279,270,671.5,269.15110106265183,0.8876546554189719,1.5,1.0,8283.134310384385,25.45187715657826,-32.95161530544311,670.0
330,321,662.5,269.06860622918066,0.999514661928069,1.5,1.0,9806.171944232336,25.4496618452539,-32.96378503882,661.0
225,216,679.5,268.12459750666494,1.6672377136082925,2.5,1.0,6679.837214840569,25.452520902925997,-32.94250555045538,678.0
214,205,682.5,267.71801337975285,1.6646519510519717,2.5,1.0,6351.739001912357,25.45237268560401,-32.93966169267052,681.0
253,244,678.5,267.02249624375145,2.561924110321628,3.5,1.0,7505.715551283764,25.45326311690972,-32.94482733196783,677.0
77,68,701.5,266.4104754114344,1.9487911685577153,2.5,0.0,2262.1136454117363,25.427485640782088,-32.9366873739295,700.0
41,32,705.5,266.21353354462667,0.7800407694199776,1.5,1.0,1194.2613549938594,25.424030411065132,-32.930975686807265,704.0
325,316,663.5,265.6771288651653,1.176264657037896,1.5,0.0,9656.778130334473,25.45100349041174,-32.96305952922759,662.0
104,95,697.5,264.32090639361695,1.5674086991148495,2.5,1.0,3064.7182556361745,25.432006623095454,-32.94175055280177,696.0
48,39,704.5,262.4657667094541,1.10108462264084,1.5,1.0,1396.9563764609104,25.424428094248306,-32.92982765306571,703.0
17,8,708.5,261.5268851359893,1.729421919543253,2.5,0.0,491.05689803167314,25.420939268094166,-32.92967832011706,707.0
34,25,706.5,259.0769912116871,1.2305054911748383,1.5,1.0,988.0208401311625,25.4228084908075,-32.9317006015978,705.0
363,355,657.5,239.80768472528507,2.8754952163781593,3.5,0.0,10792.873981921037,25.455431257538645,-32.963839559211436,656.0
124,116,694.5,239.7848424545473,1.999983533721754,2.5,0.0,3661.475442646257,25.437776239557813,-32.94326298057637,693.0
388,380,651.5,239.7490788524883,1.5632265505190819,2.5,1.0,11542.217296184022,25.461717955591883,-32.95972509530037,650.0
291,283,669.5,239.7464566163817,1.5625038860234062,2.5,1.0,8642.822528571842,25.450847510789306,-32.954730418511076,668.0
437,429,643.5,239.71553759552626,1.3126374197510273,2.5,1.0,13009.010046276924,25.474032848967415,-32.96195222475995,642.0
314,306,665.5,239.68500331210998,1.5619865993000555,2.5,1.0,9331.114913738267,25.451854979992497,-32.96066890551985,664.0
146,138,690.5,239.68405569236802,1.875044030265966,2.5,0.0,4319.632348077325,25.442181850410112,-32.93946100297236,689.0
424,416,644.5,239.65655796802457,1.8138016751020434,2.5,1.0,12619.864754169375,25.470190711310533,-32.960797479082274,643.0
329,321,662.5,239.6549923753082,0.9380885162522934,1.5,1.0,9776.758330378463,25.44989926307981,-32.963610960750415,661.0
224,216,679.5,239.30389391373683,1.6873790848774164,2.5,1.0,6651.016511247641,25.45233082456427,-32.94230094150613,678.0
277,269,672.5,239.20572966604777,1.8107687990667767,2.5,1.0,8223.188938987778,25.45208191773417,-32.95110305303802,671.0
458,450,640.5,239.1934708248882,1.812146096655058,2.5,1.0,13637.838902849664,25.477490189400605,-32.9656982996127,639.0
197,189,684.5,238.93525261317882,1.5653978137972206,3.5,1.0,5844.675650631546,25.45146099519242,-32.935578859915594,683.0
215,207,681.5,238.36206399721505,0.870850395685274,1.5,0.0,6381.712617333776,25.45232290839343,-32.93992872011025,680.0
